                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2303,                 5.4095,                   3.96,                0.00755,                0.05344,                0.00433,                0.00137,                 3.3147,                 5.3447,                 3.7429,             0.00047252,             0.00047252,             0.00047252
                      2,                 2.6148,                 3.9247,                 3.1753,                0.48481,                0.33588,                0.35528,                0.13271,                 2.5232,                 3.7787,                 3.0011,             0.00085492,             0.00085492,             0.00085492
                      3,                  2.301,                 3.0624,                 2.8439,                0.31776,                0.46565,                0.22161,                0.07778,                  2.252,                 3.0916,                 2.7727,               0.001143,               0.001143,               0.001143
                      4,                 2.0874,                 2.6185,                 2.6293,                0.61759,                0.39695,                0.42907,                0.14633,                 2.2156,                 2.5385,                 2.6805,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.9653,                 2.3516,                 2.4754,                0.74061,                0.51908,                0.62597,                0.27972,                 1.8886,                  2.228,                 2.4271,              0.0010046,              0.0010046,              0.0010046
                      6,                 1.8254,                 2.1254,                 2.3391,                 0.6943,                0.57252,                0.59418,                0.27855,                  1.785,                  1.822,                 2.2847,             0.00086312,             0.00086312,             0.00086312
                      7,                 1.7417,                 1.9477,                  2.237,                0.71391,                0.61069,                0.65753,                 0.3032,                 1.7599,                 1.7283,                 2.2016,             0.00072164,             0.00072164,             0.00072164
                      8,                  1.689,                 1.8195,                 2.1626,                0.74256,                0.61651,                 0.6891,                0.34607,                 1.7143,                 1.7568,                 2.1421,             0.00058017,             0.00058017,             0.00058017
                      9,                  1.633,                 1.6969,                 2.1074,                0.81877,                0.64122,                0.74876,                0.36274,                 1.7874,                 1.5265,                 2.1878,              0.0004387,              0.0004387,              0.0004387
                     10,                 1.5732,                 1.5736,                 2.0146,                0.85576,                0.67936,                0.79356,                0.39746,                 1.6402,                 1.3883,                 2.0742,             0.00029723,             0.00029723,             0.00029723
